City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fale old settlement,-9.3852,-171.2468,27.5,71,51,1.8,TK,1730912395
1,iqaluit,63.7506,-68.5145,-4.15,68,75,3.09,CA,1730912396
2,punta arenas,-53.15,-70.9167,9.06,53,75,10.8,CL,1730912397
3,hasaki,35.7333,140.8333,15.71,62,61,3.78,JP,1730912398
4,angaur state,6.906,134.13,28.6,74,58,3.92,PW,1730912400
5,ushuaia,-54.8,-68.3,6.81,49,40,8.23,AR,1730912401
6,altai,46.3722,96.2583,0.69,48,76,1.5,MN,1730912402
7,pathankot,32.2833,75.65,20.05,51,0,2.55,IN,1730912403
8,albany,42.6001,-73.9662,22.93,68,68,0.89,US,1730912404
9,blackmans bay,-43.0167,147.3167,10.07,82,25,2.55,AU,1730912406
10,cooma,-36.2333,149.1333,16.94,67,100,1.45,AU,1730912407
11,yellowknife,62.456,-114.3525,0.31,99,100,8.23,CA,1730912408
12,grytviken,-54.2811,-36.5092,0.53,68,30,5.19,GS,1730912409
13,alegrete,-29.7831,-55.7919,25.54,76,99,5.21,BR,1730912410
14,waitangi,-43.9535,-176.5597,12.68,97,12,1.2,NZ,1730912411
15,kroya,-7.6331,109.2461,25.8,83,91,0.86,ID,1730912413
16,yuzhno-kurilsk,44.0306,145.8556,4.05,68,62,2.14,RU,1730912414
17,ulladulla,-35.35,150.4667,19.98,77,100,3.24,AU,1730912415
18,ust-nera,64.5667,143.2,-28.65,99,60,1.52,RU,1730912416
19,bethel,41.3712,-73.414,25.01,60,3,1.79,US,1730912417
20,peniche,39.3558,-9.3811,20.21,75,4,3.22,PT,1730912419
21,necochea,-38.5473,-58.7368,19.12,58,100,5.47,AR,1730912420
22,severo-yeniseyskiy,60.3725,93.0408,-11.77,97,73,1.68,RU,1730912421
23,gulf shores,30.246,-87.7008,25.8,82,57,3.13,US,1730912422
24,shevchenko,48.5,35.0,6.54,73,77,4.09,UA,1730912423
25,rongelap,11.1635,166.8941,28.38,80,57,9.63,MH,1730912424
26,st. john's,47.5649,-52.7093,11.1,95,100,7.72,CA,1730912405
27,nova sintra,14.8667,-24.7167,26.74,78,25,8.63,CV,1730912427
28,saint-philippe,-21.3585,55.7679,23.56,81,37,5.62,RE,1730912428
29,konce,41.4958,22.385,8.35,68,65,2.05,MK,1730912429
30,xiaoweizhai,26.1903,107.5125,12.71,71,45,1.63,CN,1730912430
31,amasra,41.7463,32.3863,10.57,69,1,6.02,TR,1730912431
32,kimbe,-5.5502,150.1429,24.31,94,73,1.7,PG,1730912433
33,port elizabeth,-33.918,25.5701,17.16,71,20,4.12,ZA,1730912435
34,manokwari,-0.8667,134.0833,25.88,83,8,1.83,ID,1730912436
35,georgetown,5.4112,100.3354,26.96,82,20,1.54,MY,1730912437
36,port-aux-francais,-49.35,70.2167,3.26,75,100,11.26,TF,1730912439
37,tiksi,71.6872,128.8694,-11.36,66,100,8.75,RU,1730912440
38,happy valley-goose bay,53.3168,-60.3315,7.17,70,75,3.6,CA,1730912441
39,kegen,43.0197,79.2203,5.34,91,100,2.04,KZ,1730912442
40,adamstown,-25.066,-130.1015,22.56,81,100,2.47,PN,1730912443
41,talnakh,69.4865,88.3972,-8.16,94,100,3.77,RU,1730912444
42,klyuchi,52.2667,79.1667,3.39,46,74,9.87,RU,1730912446
43,margaret river,-33.95,115.0667,10.62,70,6,2.61,AU,1730912448
44,papatowai,-46.5619,169.4708,9.92,85,4,1.57,NZ,1730912449
45,aktau,43.65,51.2,6.32,72,100,10.04,KZ,1730912450
46,rio san juan,19.6439,-70.0763,27.41,81,60,5.38,DO,1730912452
47,ilulissat,69.2167,-51.1,-5.99,63,75,5.14,GL,1730912453
48,lata,40.1629,-8.3327,19.19,65,8,1.86,PT,1730912454
49,amahai,-3.3333,128.9167,26.11,84,37,1.45,ID,1730912455
50,floro,61.5996,5.0328,8.98,93,75,6.17,NO,1730912456
51,nikol'sk,53.7189,46.0712,-5.65,92,94,2.94,RU,1730912457
52,kodiak,57.79,-152.4072,3.73,80,98,7.08,US,1730912414
53,broome,42.2506,-75.833,19.82,85,71,0.89,US,1730912460
